[2017-05-18 10:12:32] Initializing upgrade...
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\AbuseReport.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\BizFormDetails.aspx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\BizFormDetails.aspx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\BizFormSubmit.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\BizFormSubmit.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\BlogComment.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\BlogComment.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\BlogPostSubscription.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\BlogPostSubscription.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\CustomerRegistration.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\CustomerRegistration.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\CustomTableDetails.aspx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\CustomTableDetails.aspx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\CustomTableSubmit.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\CustomTableSubmit.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\DetailsList.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\DetailsList.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\EventBooking.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\EventBooking.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\ExternalSearch.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\ExternalSearch.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\ForumPost.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\ForumPost.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\ForumPostSubscription.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\ForumPostSubscription.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\InternalSearch.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\InternalSearch.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\JoinGroup.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\JoinGroup.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\LandingPage.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\LandingPage.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\LeaveGroup.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\LeaveGroup.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\MessageBoardComment.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\MessageBoardComment.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\MessageBoardSubscription.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\MessageBoardSubscription.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\NewsletterClickThrough.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\NewsletterClickThrough.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\NewsletterOpen.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\NewsletterOpen.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\NewsletterSubscription.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\NewsletterSubscription.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\NewsletterUnsubscription.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\NewsletterUnsubscription.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\NewsletterUnsubscriptionFromAll.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\NewsletterUnsubscriptionFromAll.ascx.cs
